Locality,Migration Year,Standard Error
cb,cbtocb_2014_2014_2015.csv,29189.241893946943
cb,cbtocb_2014_2015_2016.csv,47222.694084983406
cb,cbtocb_2016_2016_2017.csv,18651.95701918214
cb,cbtocb_navoiy_2017_2017_2018.csv,88670.08844929183
cb,cbtocb_kyzy_2017_2018_2019.csv,46068.84955377171
wild,wildtowild_2014_2014_2015.csv,37342.13931149408
wild,wildtowild_2015_2015_2016.csv,31223.441255676436
wild,wildtowild_2016_2017_2018.csv,65336.79387842483
ECWP,separated_datatoECWP_2009_2009_2010.csv,24318.05435764025
KYZY,separated_datatoKYZY_2013_2013_2014.csv,12840.067739082711
KYZY,separated_datatoKYZY_2014_2014_2015.csv,8591.479675877017
KYZY,separated_datatoKYZY_2015_2015_2016.csv,12226.47926295814
KYZY,separated_datatoKYZY_2013_2016_2017.csv,0.0
KYZY,separated_datatoKYZY_2016_2017_2018.csv,0.0
KYZY,separated_datatoKYZY_2014_2018_2019.csv,0.0
KYZY,separated_datatoKYZY_2017_2019_2020.csv,53665.46099933347
NAVOIY,separated_datatoNAVOIY_2012_2012_2013.csv,7577.590622053515
NAVOIY,separated_datatoNAVOIY_2012_2013_2014.csv,14695.077059738787
NAVOIY,separated_datatoNAVOIY_2012_2014_2015.csv,22356.736174703132
NAVOIY,separated_datatoNAVOIY_2013_2016_2017.csv,25102.320673971102
NAVOIY,separated_datatoNAVOIY_2016_2017_2018.csv,55147.3211707163
NAVOIY,separated_datatoNAVOIY_2017_2019_2020.csv,24007.750000771524
SASBETPAK,separated_datatoSASBETPAK_2017_2017_2018.csv,4526.897010824426
SASBETPAK,separated_datatoSASBETPAK_2017_2018_2019.csv,24546.622414657344
SASBETPAK,separated_datatoSASBETPAK_2017_2019_2020.csv,40505.79434440547
SASEBALK,separated_datatoSASEBALK_2017_2017_2018.csv,11590.293271621018
SASEBALK,separated_datatoSASEBALK_2017_2018_2019.csv,41468.710948161475
SASEBALK,separated_datatoSASEBALK_2017_2019_2020.csv,46842.71690286819
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2015_2015_2016.csv,13832.64298900503
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2015_2016_2017.csv,9498.792643174456
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2016_2017_2018.csv,52800.0011050469
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2017_2018_2019.csv,14082.879017328854
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2017_2019_2020.csv,26522.846604592964
SKHBCUSTY,separated_datatoSKHBCUSTY_2019_2019_2020.csv,4943.703624024823
cb,cbtocb_2014_2014_2015.csv,29189.241893946943
cb,cbtocb_2014_2015_2016.csv,47222.694084983406
cb,cbtocb_2016_2016_2017.csv,18651.95701918214
cb,cbtocb_navoiy_2017_2017_2018.csv,88670.08844929183
cb,cbtocb_kyzy_2017_2018_2019.csv,46068.84955377171
wild,wildtowild_2014_2014_2015.csv,37342.13931149408
wild,wildtowild_2015_2015_2016.csv,31223.441255676436
wild,wildtowild_2016_2017_2018.csv,65336.79387842483
ECWP,separated_datatoECWP_2009_2009_2010.csv,24318.05435764025
KYZY,separated_datatoKYZY_2013_2013_2014.csv,12840.067739082711
KYZY,separated_datatoKYZY_2014_2014_2015.csv,8591.479675877017
KYZY,separated_datatoKYZY_2015_2015_2016.csv,12226.47926295814
KYZY,separated_datatoKYZY_2013_2016_2017.csv,0.0
KYZY,separated_datatoKYZY_2016_2017_2018.csv,0.0
KYZY,separated_datatoKYZY_2014_2018_2019.csv,0.0
KYZY,separated_datatoKYZY_2017_2019_2020.csv,53665.46099933347
NAVOIY,separated_datatoNAVOIY_2012_2012_2013.csv,7577.590622053515
NAVOIY,separated_datatoNAVOIY_2012_2013_2014.csv,14695.077059738787
NAVOIY,separated_datatoNAVOIY_2012_2014_2015.csv,22356.736174703132
NAVOIY,separated_datatoNAVOIY_2013_2016_2017.csv,25102.320673971102
NAVOIY,separated_datatoNAVOIY_2016_2017_2018.csv,55147.3211707163
NAVOIY,separated_datatoNAVOIY_2017_2019_2020.csv,24007.750000771524
SASBETPAK,separated_datatoSASBETPAK_2017_2017_2018.csv,4526.897010824426
SASBETPAK,separated_datatoSASBETPAK_2017_2018_2019.csv,24546.622414657344
SASBETPAK,separated_datatoSASBETPAK_2017_2019_2020.csv,40505.79434440547
SASEBALK,separated_datatoSASEBALK_2017_2017_2018.csv,11590.293271621018
SASEBALK,separated_datatoSASEBALK_2017_2018_2019.csv,41468.710948161475
SASEBALK,separated_datatoSASEBALK_2017_2019_2020.csv,46842.71690286819
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2015_2015_2016.csv,13832.64298900503
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2015_2016_2017.csv,9498.792643174456
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2016_2017_2018.csv,52800.0011050469
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2017_2018_2019.csv,14082.879017328854
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2017_2019_2020.csv,26522.846604592964
SKHBCUSTY,separated_datatoSKHBCUSTY_2019_2019_2020.csv,4943.703624024823
cb,cbtocb_2014_2014_2015.csv,29189.241893946943
cb,cbtocb_2014_2015_2016.csv,47222.694084983406
cb,cbtocb_2016_2016_2017.csv,18651.95701918214
cb,cbtocb_navoiy_2017_2017_2018.csv,88670.08844929183
cb,cbtocb_kyzy_2017_2018_2019.csv,46068.84955377171
wild,wildtowild_2014_2014_2015.csv,37342.13931149408
wild,wildtowild_2015_2015_2016.csv,31223.441255676436
wild,wildtowild_2016_2017_2018.csv,65336.79387842483
ECWP,separated_datatoECWP_2009_2009_2010.csv,24318.05435764025
KYZY,separated_datatoKYZY_2013_2013_2014.csv,12840.067739082711
KYZY,separated_datatoKYZY_2014_2014_2015.csv,8591.479675877017
KYZY,separated_datatoKYZY_2015_2015_2016.csv,12226.47926295814
KYZY,separated_datatoKYZY_2013_2016_2017.csv,0.0
KYZY,separated_datatoKYZY_2016_2017_2018.csv,0.0
KYZY,separated_datatoKYZY_2014_2018_2019.csv,0.0
KYZY,separated_datatoKYZY_2017_2019_2020.csv,53665.46099933347
NAVOIY,separated_datatoNAVOIY_2012_2012_2013.csv,7577.590622053515
NAVOIY,separated_datatoNAVOIY_2012_2013_2014.csv,14695.077059738787
NAVOIY,separated_datatoNAVOIY_2012_2014_2015.csv,22356.736174703132
NAVOIY,separated_datatoNAVOIY_2013_2016_2017.csv,25102.320673971102
NAVOIY,separated_datatoNAVOIY_2016_2017_2018.csv,55147.3211707163
NAVOIY,separated_datatoNAVOIY_2017_2019_2020.csv,24007.750000771524
SASBETPAK,separated_datatoSASBETPAK_2017_2017_2018.csv,4526.897010824426
SASBETPAK,separated_datatoSASBETPAK_2017_2018_2019.csv,24546.622414657344
SASBETPAK,separated_datatoSASBETPAK_2017_2019_2020.csv,40505.79434440547
SASEBALK,separated_datatoSASEBALK_2017_2017_2018.csv,11590.293271621018
SASEBALK,separated_datatoSASEBALK_2017_2018_2019.csv,41468.710948161475
SASEBALK,separated_datatoSASEBALK_2017_2019_2020.csv,46842.71690286819
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2015_2015_2016.csv,13832.64298900503
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2015_2016_2017.csv,9498.792643174456
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2016_2017_2018.csv,52800.0011050469
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2017_2018_2019.csv,14082.879017328854
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2017_2019_2020.csv,26522.846604592964
SKHBCUSTY,separated_datatoSKHBCUSTY_2019_2019_2020.csv,4943.703624024823
cb,cbtocb_2014_2014_2015.csv,29189.241893946943
cb,cbtocb_2014_2015_2016.csv,47222.694084983406
cb,cbtocb_2016_2016_2017.csv,18651.95701918214
cb,cbtocb_navoiy_2017_2017_2018.csv,88670.08844929183
cb,cbtocb_kyzy_2017_2018_2019.csv,46068.84955377171
wild,wildtowild_2014_2014_2015.csv,37342.13931149408
wild,wildtowild_2015_2015_2016.csv,31223.441255676436
wild,wildtowild_2016_2017_2018.csv,65336.79387842483
ECWP,separated_datatoECWP_2009_2009_2010.csv,24318.05435764025
KYZY,separated_datatoKYZY_2013_2013_2014.csv,12840.067739082711
KYZY,separated_datatoKYZY_2014_2014_2015.csv,8591.479675877017
KYZY,separated_datatoKYZY_2015_2015_2016.csv,12226.47926295814
KYZY,separated_datatoKYZY_2013_2016_2017.csv,0.0
KYZY,separated_datatoKYZY_2016_2017_2018.csv,0.0
KYZY,separated_datatoKYZY_2014_2018_2019.csv,0.0
KYZY,separated_datatoKYZY_2017_2019_2020.csv,53665.46099933347
NAVOIY,separated_datatoNAVOIY_2012_2012_2013.csv,7577.590622053515
NAVOIY,separated_datatoNAVOIY_2012_2013_2014.csv,14695.077059738787
NAVOIY,separated_datatoNAVOIY_2012_2014_2015.csv,22356.736174703132
NAVOIY,separated_datatoNAVOIY_2013_2016_2017.csv,25102.320673971102
NAVOIY,separated_datatoNAVOIY_2016_2017_2018.csv,55147.3211707163
NAVOIY,separated_datatoNAVOIY_2017_2019_2020.csv,24007.750000771524
SASBETPAK,separated_datatoSASBETPAK_2017_2017_2018.csv,4526.897010824426
SASBETPAK,separated_datatoSASBETPAK_2017_2018_2019.csv,24546.622414657344
SASBETPAK,separated_datatoSASBETPAK_2017_2019_2020.csv,40505.79434440547
SASEBALK,separated_datatoSASEBALK_2017_2017_2018.csv,11590.293271621018
SASEBALK,separated_datatoSASEBALK_2017_2018_2019.csv,41468.710948161475
SASEBALK,separated_datatoSASEBALK_2017_2019_2020.csv,46842.71690286819
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2015_2015_2016.csv,13832.64298900503
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2015_2016_2017.csv,9498.792643174456
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2016_2017_2018.csv,52800.0011050469
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2017_2018_2019.csv,14082.879017328854
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2017_2019_2020.csv,26522.846604592964
SKHBCUSTY,separated_datatoSKHBCUSTY_2019_2019_2020.csv,4943.703624024823
cb,cbtocb_2014_2014_2015.csv,29189.241893946943
cb,cbtocb_2014_2015_2016.csv,47222.694084983406
cb,cbtocb_2016_2016_2017.csv,18651.95701918214
cb,cbtocb_navoiy_2017_2017_2018.csv,88670.08844929183
cb,cbtocb_kyzy_2017_2018_2019.csv,46068.84955377171
wild,wildtowild_2014_2014_2015.csv,37342.13931149408
wild,wildtowild_2015_2015_2016.csv,31223.441255676436
wild,wildtowild_2016_2017_2018.csv,65336.79387842483
ECWP,separated_datatoECWP_2009_2009_2010.csv,24318.05435764025
KYZY,separated_datatoKYZY_2013_2013_2014.csv,12840.067739082711
KYZY,separated_datatoKYZY_2014_2014_2015.csv,8591.479675877017
KYZY,separated_datatoKYZY_2015_2015_2016.csv,12226.47926295814
KYZY,separated_datatoKYZY_2013_2016_2017.csv,0.0
KYZY,separated_datatoKYZY_2016_2017_2018.csv,0.0
KYZY,separated_datatoKYZY_2014_2018_2019.csv,0.0
KYZY,separated_datatoKYZY_2017_2019_2020.csv,53665.46099933347
NAVOIY,separated_datatoNAVOIY_2012_2012_2013.csv,7577.590622053515
NAVOIY,separated_datatoNAVOIY_2012_2013_2014.csv,14695.077059738787
NAVOIY,separated_datatoNAVOIY_2012_2014_2015.csv,22356.736174703132
NAVOIY,separated_datatoNAVOIY_2013_2016_2017.csv,25102.320673971102
NAVOIY,separated_datatoNAVOIY_2016_2017_2018.csv,55147.3211707163
NAVOIY,separated_datatoNAVOIY_2017_2019_2020.csv,24007.750000771524
SASBETPAK,separated_datatoSASBETPAK_2017_2017_2018.csv,4526.897010824426
SASBETPAK,separated_datatoSASBETPAK_2017_2018_2019.csv,24546.622414657344
SASBETPAK,separated_datatoSASBETPAK_2017_2019_2020.csv,40505.79434440547
SASEBALK,separated_datatoSASEBALK_2017_2017_2018.csv,11590.293271621018
SASEBALK,separated_datatoSASEBALK_2017_2018_2019.csv,41468.710948161475
SASEBALK,separated_datatoSASEBALK_2017_2019_2020.csv,46842.71690286819
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2015_2015_2016.csv,13832.64298900503
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2015_2016_2017.csv,9498.792643174456
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2016_2017_2018.csv,52800.0011050469
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2017_2018_2019.csv,14082.879017328854
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2017_2019_2020.csv,26522.846604592964
SKHBCUSTY,separated_datatoSKHBCUSTY_2019_2019_2020.csv,4943.703624024823
SKHBCUSTY,separated_datatoSKHBCUSTY_2019_2019_2020.csv,4943.703624024823
SKHBCUSTY,separated_datatoSKHBCUSTY_2019_2019_2020.csv,4943.703624024823
SKHBCUSTY,separated_datatoSKHBCUSTY_2019_2019_2020.csv,4943.703624024823
SKHBCUSTY,separated_datatoSKHBCUSTY_2019_2019_2020.csv,4943.703624024823
SKHBCUSTY,separated_datatoSKHBCUSTY_2019_2019_2020.csv,4943.703624024823
SKHBCUSTY,separated_datatoSKHBCUSTY_2019_2019_2020.csv,4943.703624024823
SKHBCUSTY,separated_datatoSKHBCUSTY_2019_2019_2020.csv,4943.703624024823
SKHBCUSTY,separated_datatoSKHBCUSTY_2019_2019_2020.csv,4943.703624024823
cb,cbtocb_2014_2014_2015.csv,29189.241893946943
cb,cbtocb_2014_2015_2016.csv,47222.694084983406
cb,cbtocb_2016_2016_2017.csv,18651.95701918214
cb,cbtocb_navoiy_2017_2017_2018.csv,88670.08844929183
cb,cbtocb_kyzy_2017_2018_2019.csv,46068.84955377171
wild,wildtowild_2014_2014_2015.csv,37342.13931149408
wild,wildtowild_2015_2015_2016.csv,31223.441255676436
wild,wildtowild_2016_2017_2018.csv,65336.79387842483
ECWP,separated_datatoECWP_2009_2009_2010.csv,24318.05435764025
KYZY,separated_datatoKYZY_2013_2013_2014.csv,12840.067739082711
KYZY,separated_datatoKYZY_2014_2014_2015.csv,8591.479675877017
KYZY,separated_datatoKYZY_2015_2015_2016.csv,12226.47926295814
KYZY,separated_datatoKYZY_2013_2016_2017.csv,0.0
KYZY,separated_datatoKYZY_2016_2017_2018.csv,0.0
KYZY,separated_datatoKYZY_2014_2018_2019.csv,0.0
KYZY,separated_datatoKYZY_2017_2019_2020.csv,53665.46099933347
NAVOIY,separated_datatoNAVOIY_2012_2012_2013.csv,7577.590622053515
NAVOIY,separated_datatoNAVOIY_2012_2013_2014.csv,14695.077059738787
NAVOIY,separated_datatoNAVOIY_2012_2014_2015.csv,22356.736174703132
NAVOIY,separated_datatoNAVOIY_2013_2016_2017.csv,25102.320673971102
NAVOIY,separated_datatoNAVOIY_2016_2017_2018.csv,55147.3211707163
NAVOIY,separated_datatoNAVOIY_2017_2019_2020.csv,24007.750000771524
SASBETPAK,separated_datatoSASBETPAK_2017_2017_2018.csv,4526.897010824426
SASBETPAK,separated_datatoSASBETPAK_2017_2018_2019.csv,24546.622414657344
SASBETPAK,separated_datatoSASBETPAK_2017_2019_2020.csv,40505.79434440547
SASEBALK,separated_datatoSASEBALK_2017_2017_2018.csv,11590.293271621018
SASEBALK,separated_datatoSASEBALK_2017_2018_2019.csv,41468.710948161475
SASEBALK,separated_datatoSASEBALK_2017_2019_2020.csv,46842.71690286819
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2015_2015_2016.csv,13832.64298900503
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2015_2016_2017.csv,9498.792643174456
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2016_2017_2018.csv,52800.0011050469
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2017_2018_2019.csv,14082.879017328854
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2017_2019_2020.csv,26522.846604592964
SKHBCUSTY,separated_datatoSKHBCUSTY_2019_2019_2020.csv,4943.703624024823
cb,cbtocb_2014_2014_2015.csv,29189.241893946943
cb,cbtocb_2014_2015_2016.csv,47222.694084983406
cb,cbtocb_2016_2016_2017.csv,18651.95701918214
cb,cbtocb_navoiy_2017_2017_2018.csv,88670.08844929183
cb,cbtocb_kyzy_2017_2018_2019.csv,46068.84955377171
wild,wildtowild_2014_2014_2015.csv,37342.13931149408
wild,wildtowild_2015_2015_2016.csv,31223.441255676436
wild,wildtowild_2016_2017_2018.csv,65336.79387842483
ECWP,separated_datatoECWP_2009_2009_2010.csv,24318.05435764025
KYZY,separated_datatoKYZY_2013_2013_2014.csv,12840.067739082711
KYZY,separated_datatoKYZY_2014_2014_2015.csv,8591.479675877017
KYZY,separated_datatoKYZY_2015_2015_2016.csv,12226.47926295814
KYZY,separated_datatoKYZY_2013_2016_2017.csv,0.0
KYZY,separated_datatoKYZY_2016_2017_2018.csv,0.0
KYZY,separated_datatoKYZY_2014_2018_2019.csv,0.0
KYZY,separated_datatoKYZY_2017_2019_2020.csv,53665.46099933347
NAVOIY,separated_datatoNAVOIY_2012_2012_2013.csv,7577.590622053515
NAVOIY,separated_datatoNAVOIY_2012_2013_2014.csv,14695.077059738787
NAVOIY,separated_datatoNAVOIY_2012_2014_2015.csv,22356.736174703132
NAVOIY,separated_datatoNAVOIY_2013_2016_2017.csv,25102.320673971102
NAVOIY,separated_datatoNAVOIY_2016_2017_2018.csv,55147.3211707163
NAVOIY,separated_datatoNAVOIY_2017_2019_2020.csv,24007.750000771524
SASBETPAK,separated_datatoSASBETPAK_2017_2017_2018.csv,4526.897010824426
SASBETPAK,separated_datatoSASBETPAK_2017_2018_2019.csv,24546.622414657344
SASBETPAK,separated_datatoSASBETPAK_2017_2019_2020.csv,40505.79434440547
SASEBALK,separated_datatoSASEBALK_2017_2017_2018.csv,11590.293271621018
SASEBALK,separated_datatoSASEBALK_2017_2018_2019.csv,41468.710948161475
SASEBALK,separated_datatoSASEBALK_2017_2019_2020.csv,46842.71690286819
SKHBCBETPAK,separated_datatoSKHBCBETPAK_2015_2015_2016.csv,13832.64298900503
